country_grp2,ratingdate,n,medage,total,perc
China,1989-06-30T23:00:00Z,1,21.045859000684462,108,0.009259259259259259
China,1991-01-01T00:00:00Z,1,27.249828884325805,104,0.009615384615384616
China,1994-06-30T23:00:00Z,1,33.607118412046546,106,0.009433962264150943
China,1995-01-01T00:00:00Z,1,34.11362080766598,110,0.00909090909090909
China,1999-06-30T23:00:00Z,1,38.60643394934976,100,0.01
China,2000-01-01T00:00:00Z,3,26.73511293634497,100,0.03
China,2000-06-30T23:00:00Z,6,29.638603696098563,101,0.0594059405940594
China,2000-09-30T23:00:00Z,5,27.482546201232033,100,0.05
China,2001-01-01T00:00:00Z,4,33.01574264202601,100,0.04
China,2001-03-31T23:00:00Z,4,33.25941136208077,100,0.04
China,2001-06-30T23:00:00Z,4,33.50855578370979,101,0.039603960396039604
China,2001-09-30T23:00:00Z,4,33.76043805612594,103,0.038834951456310676
China,2002-01-01T00:00:00Z,4,34.01505817932923,103,0.038834951456310676
China,2002-03-31T23:00:00Z,5,28.980150581793293,101,0.04950495049504951
China,2002-06-30T23:00:00Z,5,29.229295003422312,102,0.049019607843137254
China,2002-09-30T23:00:00Z,3,40.03832991101985,100,0.03
China,2003-01-01T00:00:00Z,3,40.29295003422313,100,0.03
China,2003-03-31T23:00:00Z,3,40.53661875427789,102,0.029411764705882353
China,2003-06-30T23:00:00Z,3,40.785763175906915,100,0.03
China,2003-09-30T23:00:00Z,3,41.03764544832307,100,0.03
China,2004-01-01T00:00:00Z,3,41.29226557152635,100,0.03
China,2004-03-31T23:00:00Z,4,33.555099247091036,100,0.04
China,2004-06-30T23:00:00Z,3,41.78781656399726,100,0.03
China,2004-09-30T23:00:00Z,2,31.333333333333336,101,0.019801980198019802
China,2005-01-01T00:00:00Z,2,32.85420944558521,103,0.019417475728155338
China,2005-03-31T23:00:00Z,3,21.83709787816564,102,0.029411764705882353
China,2005-06-30T23:00:00Z,4,23.54551676933607,102,0.0392156862745098
China,2005-09-30T23:00:00Z,2,32.332648870636554,101,0.019801980198019802
China,2006-01-01T00:00:00Z,4,26.41889117043121,101,0.039603960396039604
China,2006-03-31T23:00:00Z,4,26.662559890485966,101,0.039603960396039604
China,2006-06-30T23:00:00Z,5,26.0041067761807,102,0.049019607843137254
China,2006-09-30T23:00:00Z,5,20.804928131416837,100,0.05
China,2007-01-01T00:00:00Z,5,23.592060232717316,100,0.05
China,2007-03-31T23:00:00Z,6,22.569472963723477,102,0.058823529411764705
China,2007-06-30T23:00:00Z,5,24.084873374401095,100,0.05
China,2007-09-30T23:00:00Z,6,23.07049965776865,100,0.06
China,2008-01-01T00:00:00Z,5,22.05886379192334,102,0.049019607843137254
China,2008-03-31T23:00:00Z,5,22.305270362765228,101,0.04950495049504951
China,2008-06-30T23:00:00Z,5,22.55441478439425,100,0.05
China,2008-09-30T23:00:00Z,5,22.806297056810404,101,0.04950495049504951
China,2009-01-01T00:00:00Z,5,23.06091718001369,100,0.05
China,2009-03-31T23:00:00Z,7,22.0041067761807,104,0.0673076923076923
China,2009-06-30T23:00:00Z,4,22.903490759753595,101,0.039603960396039604
China,2009-08-31T23:00:00Z,4,23.073237508555785,100,0.04
China,2009-11-01T00:00:00Z,5,22.5927446954141,102,0.049019607843137254
China,2010-01-01T00:00:00Z,4,23.40999315537303,103,0.038834951456310676
China,2010-03-01T00:00:00Z,5,22.921286789869953,100,0.05
China,2010-04-30T23:00:00Z,5,23.085557837097877,102,0.049019607843137254
China,2010-06-30T23:00:00Z,5,23.252566735112936,100,0.05
China,2010-08-31T23:00:00Z,4,23.04312114989733,100,0.04
China,2010-11-01T00:00:00Z,4,23.21286789869952,101,0.039603960396039604
China,2011-01-01T00:00:00Z,5,23.000684462696782,101,0.04950495049504951
